date,open,high,low,close,volume
2020-04-28,110.05,110.57,104.4,104.59,2263455.0
2020-04-27,111.15,112.6869,108.9116,109.42,1550668.0
2020-04-24,108.08,110.8,105.7,109.95,1779119.0
2020-04-23,105.0,109.43,105.0,107.51,1761000.0
2020-04-22,106.9,109.36,105.875,107.89,1266705.0
2020-04-21,107.53,109.485,100.41,105.0,3420720.0
2020-04-20,106.6,111.49,106.55,108.37,2433216.0
2020-04-17,106.5,108.32,104.3827,107.88,2785774.0
2020-04-16,101.85,106.82,101.52,103.63,2964183.0
2020-04-15,99.46,101.69,97.425,100.82,2046473.0
2020-04-14,98.54,100.92,98.01,98.79,2125066.0
2020-04-13,95.3,96.29,92.7079,95.89,1574704.0
2020-04-09,92.58,97.45,92.14,95.34,2926155.0
2020-04-08,88.45,92.35,88.15,91.73,2822304.0
2020-04-07,88.0,90.29,84.02,87.22,3414838.0
2020-04-06,84.0,86.95,82.44,86.66,2932124.0
2020-04-03,82.58,83.0,79.25,80.69,2892117.0
2020-04-02,83.79,86.41,81.51,83.32,2605995.0
2020-04-01,87.0,87.88,84.54,84.93,2741598.0
2020-03-31,92.34,95.45,88.94,89.49,5209532.0
2020-03-30,97.57,99.42,95.31,97.0,2592268.0
2020-03-27,98.0,98.96,95.51,96.63,2200042.0
2020-03-26,97.21,102.685,96.77,100.69,3635559.0
2020-03-25,98.89,101.79,95.76,96.83,3620992.0
2020-03-24,93.0,98.74,93.0,97.53,4240690.0
2020-03-23,84.61,90.49,81.3565,89.74,4061750.0
2020-03-20,83.22,89.39,83.01,84.14,3762420.0
2020-03-19,74.25,83.31,71.57,82.5,4207547.0
2020-03-18,72.57,78.4599,70.26,74.09,2754362.0
2020-03-17,72.23,80.66,72.23,77.62,3609646.0
2020-03-16,69.42,77.99,68.0555,71.7,3434116.0
2020-03-13,83.18,83.18,73.72,79.99,5843720.0
2020-03-12,77.08,82.82,75.75,78.34,5286191.0
2020-03-11,90.18,92.42,85.1754,87.01,4492784.0
2020-03-10,96.47,96.81,89.55,92.61,5081547.0
2020-03-09,92.88,98.99,91.0,93.05,3735601.0
2020-03-06,103.5,104.35,98.58,101.77,3455254.0
2020-03-05,103.81,108.58,102.84,105.99,2915479.0
2020-03-04,106.86,107.26,103.8313,104.88,3982904.0
2020-03-03,111.57,112.2799,102.26,105.37,5309534.0
2020-03-02,113.7,114.25,108.01,111.48,3216298.0
2020-02-28,105.97,112.65,105.73,112.64,3813877.0
2020-02-27,107.52,114.9,105.27,110.91,3418397.0
2020-02-26,113.11,115.84,111.12,112.96,2605310.0
2020-02-25,119.0,120.1246,111.665,112.31,4466649.0
2020-02-24,115.0,118.602,113.03,117.94,4117284.0
2020-02-21,125.38,125.74,120.9,123.27,2566833.0
2020-02-20,128.0,128.56,123.1,126.71,2698249.0
2020-02-19,128.76,129.65,127.92,128.06,1982754.0
2020-02-18,127.5,129.13,126.02,128.14,3168380.0
2020-02-14,128.87,129.7262,127.51,127.74,2109215.0
2020-02-13,125.63,130.53,125.0,128.67,3601041.0
2020-02-12,125.56,126.18,122.45,125.92,2163764.0
2020-02-11,126.43,127.17,124.46,125.41,2199771.0
2020-02-10,122.3,126.78,121.59,125.71,3273067.0
2020-02-07,119.78,122.88,117.92,122.21,5545648.0
2020-02-06,120.6,125.66,116.38,117.87,13781352.0
2020-02-05,133.0,133.0,126.4,127.15,6693795.0
2020-02-04,130.39,132.02,128.6,131.9,3341577.0
2020-02-03,124.31,128.18,123.38,128.18,3329222.0
2020-01-31,126.53,127.5,122.96,124.34,3028061.0
2020-01-30,122.5,125.59,122.01,124.81,1920335.0
2020-01-29,123.9,125.19,121.66,123.8,2521231.0
2020-01-28,122.43,125.7768,121.12,122.76,3780257.0
2020-01-27,116.92,121.11,115.02,120.55,2172529.0
2020-01-24,122.01,123.37,119.55,121.38,2929816.0
2020-01-23,120.0,121.83,118.83,120.8,3422709.0
2020-01-22,119.85,120.9,118.92,119.12,2293915.0
2020-01-21,118.9,120.53,117.23,119.08,2318317.0
2020-01-17,119.22,120.48,118.05,119.36,2592233.0
2020-01-16,121.24,121.6,118.3001,119.58,3203557.0
2020-01-15,119.43,123.78,119.22,119.88,4904193.0
2020-01-14,120.07,120.8666,117.21,119.02,3139792.0
2020-01-13,117.29,120.45,116.85,120.34,3826611.0
2020-01-10,115.0,116.49,114.05,115.74,4633322.0
2020-01-09,111.33,113.15,110.3601,113.02,3788858.0
2020-01-08,108.8,110.82,108.2,109.39,3034975.0
2020-01-07,107.63,109.94,107.37,108.06,2646387.0
2020-01-06,102.74,107.74,101.77,107.46,3938663.0
2020-01-03,101.1,104.55,100.76,103.52,2502762.0
2020-01-02,100.01,103.15,99.66,103.15,2876697.0
2019-12-31,96.81,98.74,96.68,98.28,2018899.0
2019-12-30,99.6,100.17,96.7,97.79,2317892.0
2019-12-27,103.34,103.34,100.05,100.43,1928474.0
2019-12-26,100.89,103.58,100.4,102.61,2029809.0
2019-12-24,99.92,100.73,99.06,100.55,948094.0
2019-12-23,100.55,101.6,100.2,100.39,1409788.0
2019-12-20,100.14,101.37,99.57,100.26,2500784.0
2019-12-19,98.21,99.92,97.71,99.88,1782573.0
2019-12-18,97.76,99.94,97.54,98.43,2226148.0
2019-12-17,99.15,99.32,97.0,97.59,2177076.0
2019-12-16,98.24,100.2,97.345,98.85,2483949.0
2019-12-13,97.01,99.32,96.94,97.98,3008513.0
2019-12-12,96.2,97.38,95.33,96.86,2720030.0
2019-12-11,97.54,97.74,95.06,96.23,2427921.0
2019-12-10,99.45,99.62,96.75,97.36,1572727.0
2019-12-09,98.66,100.55,98.55,98.99,2051255.0
2019-12-06,97.82,99.3581,96.26,98.54,1925578.0
2019-12-05,98.5,99.45,97.4,97.54,1609824.0
2019-12-04,99.27,100.65,97.875,98.93,2363615.0
2019-12-03,95.65,99.56,94.8779,99.28,2663132.0
2019-12-02,102.66,102.76,95.67,97.65,5266495.0
2019-11-29,102.2,103.6,101.81,103.28,1132189.0
2019-11-27,102.85,103.4,101.5564,103.0,1814792.0
2019-11-26,103.0,103.54,101.77,102.59,3177154.0
2019-11-25,105.0,105.298,103.16,103.36,2331252.0
2019-11-22,103.8,104.5,102.78,104.29,1963524.0
2019-11-21,104.07,105.35,102.9,103.53,1733911.0
2019-11-20,103.27,105.59,102.54,103.74,3742924.0
2019-11-19,102.0,103.58,100.62,103.0,2533470.0
2019-11-18,99.51,102.63,98.6,101.66,3990638.0
2019-11-15,99.25,99.58,97.56,99.54,2846638.0
2019-11-14,98.06,99.31,96.85,98.11,2665512.0
2019-11-13,94.93,98.36,94.43,98.34,3798699.0
2019-11-12,96.5,100.12,91.37,95.09,13288517.0
2019-11-11,94.0,97.37,93.5,96.17,4349300.0
2019-11-08,90.75,93.92,90.5536,93.23,2919297.0
2019-11-07,92.1,92.95,90.61,91.06,2952587.0
2019-11-06,91.5,93.48,90.15,92.27,3475438.0
2019-11-05,92.0,93.46,89.81,91.33,5189442.0
2019-11-04,96.46,96.75,91.64,92.01,8410842.0
2019-11-01,95.64,98.87,95.51,97.06,4928980.0
2019-10-31,98.58,99.785,92.89,96.56,15358337.0
2019-10-30,107.01,109.66,105.6,107.7,7060347.0
